word,frequency,rate
批評,1,0.000
出来上がっ,2,0.000
カフェ・ド・クリエ,1,0.000
プルマン,3,0.000
余る,11,0.000
洗濯,26,0.000
切れ,82,0.000
グレー,2,0.000
越える,6,0.000
へい,1,0.000
持ち物,3,0.000
しかれ,1,0.000
限界,8,0.000
引き離し,2,0.000
貸し,50,0.000
クール,2,0.000
編み上げ,1,0.000
アンダーライン,2,0.000
ランドリー,3,0.000
幽霊,6,0.000
選手,22,0.000
彼氏,37,0.000
伊豆高原,1,0.000
ほめちぎっ,1,0.000
熱っ,3,0.000
夏休み,51,0.000
耐え,15,0.000
こぎつけ,1,0.000
リア,1,0.000
雫,3,0.000
土間,4,0.000
かくする,1,0.000
木の実,1,0.000
一山,5,0.000
ゃいけないっていうので,1,0.000
小遣い,12,0.000
だいぶん,5,0.000
,1,0.000
ラクダ,1,0.000
犬山,3,0.000
つき合う,1,0.000
本務,2,0.000
事故,46,0.000
出没,2,0.000
でかでか,1,0.000
オールマイティー,1,0.000
本末転倒,1,0.000
準,1,0.000
相応,1,0.000
っ放し,1,0.000
先生,1636,0.001
むってだれ,1,0.000
響か,2,0.000
接する,4,0.000
口実,1,0.000
拠点,1,0.000
取り残さ,1,0.000
ケア,1,0.000
むのき,1,0.000
才能,8,0.000
だいじょうぶ,94,0.000
メッセージ,10,0.000
まう,9,0.000
位,18,0.000
アルベロ,3,0.000
サーバー,5,0.000
北回り,1,0.000
＆,14,0.000
土,34,0.000
安,18,0.000
しゃし,1,0.000
越す,1,0.000
卑怯,1,0.000
かめれ,1,0.000
言い終わる,1,0.000
田園都市線,4,0.000
築い,1,0.000
ヒラリヒラリ,1,0.000
鎌ヶ谷,2,0.000
ワッフル,7,0.000
季,3,0.000
ーーー,2,0.000
ボランティア,31,0.000
キー,22,0.000
インフォーマル,2,0.000
太ら,11,0.000
原文,1,0.000
オードリー・ヘップバーン,1,0.000
乗る,72,0.000
中部,3,0.000
養成,7,0.000
プチ,4,0.000
店内,1,0.000
ドバーッ,1,0.000
つくし,3,0.000
よこせ,3,0.000
ユニフォーム,1,0.000
ぽっくり,5,0.000
締める,2,0.000
決め,102,0.000
怖かっ,24,0.000
平均,4,0.000
つきみ野,2,0.000
免,1,0.000
不細工,3,0.000
ワーズワーズ,1,0.000
あまし,1,0.000
ゃべっちゃだめだしさ,1,0.000
メロドラマ,2,0.000
フラワー,4,0.000
ト,6,0.000
戒名,4,0.000
セールスマン,4,0.000
忘れ物,8,0.000
頻度,5,0.000
ＤＲ,1,0.000
えて,1,0.000
目だっ,1,0.000
涼しい,5,0.000
寝ろ,1,0.000
ダンダンダーン,1,0.000
市民,7,0.000
整備,8,0.000
令,2,0.000
ｆａｔｈｅｒ,11,0.000
特命,5,0.000
逃さ,1,0.000
ほうれん草,2,0.000
美男,2,0.000
飛騨,2,0.000
近衛,1,0.000
温かい,10,0.000
協,70,0.000
飛び散っ,2,0.000
就学,1,0.000
真に,1,0.000
パー,17,0.000
それでも,143,0.000
争っ,2,0.000
開業,3,0.000
曲げ,2,0.000
飾,1,0.000
サイクリング,1,0.000
すっ飛ば,1,0.000
チケット,21,0.000
しかた,35,0.000
故郷,2,0.000
本質,6,0.000
なまぐさく,1,0.000
今さら,13,0.000
枚方,3,0.000
招き猫,2,0.000
くすぐら,2,0.000
落し,16,0.000
グリンピース,1,0.000
良し,1,0.000
切り離し,1,0.000
しまり,1,0.000
てか,41,0.000
切断,2,0.000
年内,10,0.000
小刻み,1,0.000
口ごもっ,1,0.000
画質,1,0.000
シュークリーム,13,0.000
婆,4,0.000
温まる,1,0.000
色っぽく,1,0.000
黙,1,0.000
荒れる,4,0.000
病人,2,0.000
自営業,1,0.000
夏物,1,0.000
心地,3,0.000
024,5,0.000
表す,2,0.000
ミャオ,1,0.000
たらふく,2,0.000
遠くっ,1,0.000
えりすぐっ,1,0.000
「,475,0.000
自由,42,0.000
怠慢,1,0.000
上着,2,0.000
ティー・オア・コフィー,2,0.000
型,49,0.000
甘口,1,0.000
皿,25,0.000
採ら,5,0.000
補導,2,0.000
泣ける,2,0.000
ゃべっとるわけじゃないけど,1,0.000
ディマンディングマザー,1,0.000
おかず,12,0.000
ミストラル,1,0.000
バルチャーズ,1,0.000
素敵,2,0.000
じゅう,25,0.000
バン,11,0.000
ボソボソ,1,0.000
民謡,15,0.000
ちゃっ,1563,0.001
切り詰め,2,0.000
長期,7,0.000
申請,12,0.000
よね,1,0.000
ちび,8,0.000
ねらわ,1,0.000
下半身,2,0.000
取りそろえ,3,0.000
オーブン,7,0.000
電球,2,0.000
ボツ,2,0.000
見りゃ,1,0.000
先端,1,0.000
落ち度,2,0.000
観,20,0.000
オマール,2,0.000
逃し,5,0.000
大概,5,0.000
天職,2,0.000
乗り入れ,2,0.000
店,223,0.000
人間,116,0.000
バツ,12,0.000
三角,8,0.000
吉野屋,1,0.000
むちゃ,1,0.000
垂らし,3,0.000
がま,1,0.000
ドラえもん,7,0.000
中心,27,0.000
ミカイ,1,0.000
虎視眈々,1,0.000
媒介,5,0.000
きる,2,0.000
脳血栓,1,0.000
手拭い,1,0.000
ぱち,1,0.000
必ず,87,0.000
軍人,2,0.000
馬,8,0.000
くり,11,0.000
届出,1,0.000
しゃべれ,24,0.000
消化,5,0.000
ＭＢＡ,1,0.000
プリンゴゴッコ,1,0.000
ぐたっちゃいそうねえ,1,0.000
読み込ん,3,0.000
小樽,6,0.000
アジサイ,2,0.000
全部,604,0.000
珍しく,17,0.000
受かる,20,0.000
手動,1,0.000
はえ,1,0.000
ｂｕｃｋｅｔ,1,0.000
むす,1,0.000
なぐさめ,3,0.000
探,1,0.000
入っ,1024,0.001
ばらばら,20,0.000
討議,3,0.000
治し,8,0.000
町立,4,0.000
びついてみておもしろがってる,1,0.000
奥行き,1,0.000
マフラー,6,0.000
扉,2,0.000
−,38,0.000
だほ,1,0.000
過ぎれ,1,0.000
人だかり,4,0.000
返済,1,0.000
くずし,1,0.000
いいっ,61,0.000
家具,7,0.000
おくる,1,0.000
泣き声,1,0.000
直輸入,1,0.000
いささか,2,0.000
つかわ,1,0.000
干す,1,0.000
匹,18,0.000
レボリューション,1,0.000
出来ん,1,0.000
明るかっ,3,0.000
ぶち,4,0.000
こよ,21,0.000
伝染,1,0.000
追いかけ,7,0.000
アンチ,1,0.000
手伝う,4,0.000
ショップ,18,0.000
ベローン,1,0.000
かぜん,1,0.000
ダイレクト,3,0.000
ブンブカフェ,1,0.000
鈴,3,0.000
シーンボイ,1,0.000
力いっぱい,1,0.000
格好,50,0.000
しょせん,3,0.000
項目,16,0.000
プッ,1,0.000
平凡,2,0.000
大々的,1,0.000
いてん,2,0.000
奴,1,0.000
ひっくり返し,6,0.000
なんだかんだ,18,0.000
通行,1,0.000
アンブレラ,1,0.000
おだ,3,0.000
正し,1,0.000
アウトドア,3,0.000
とうさん,1,0.000
話し方,19,0.000
同棲,12,0.000
鍛え,9,0.000
アルゼンティーナ,1,0.000
動い,33,0.000
つない,16,0.000
クッキー,47,0.000
プラ,1,0.000
正常,4,0.000
カッカ,1,0.000
つかれ,2,0.000
てれ,58,0.000
ほや,22,0.000
カステラ,2,0.000
かもし出し,1,0.000
拝む,1,0.000
ワークショップ,6,0.000
グダグダグダグダ,1,0.000
むなしい,1,0.000
たげよ,1,0.000
アポロ,3,0.000
近くっ,1,0.000
ルーム,8,0.000
景色,14,0.000
役に立っ,5,0.000
移ら,4,0.000
えらくっ,1,0.000
カラ,2,0.000
注ぐ,2,0.000
高官,1,0.000
ちぎっ,6,0.000
還元,1,0.000
ＤＶＤ,19,0.000
たじたじ,1,0.000
107３,1,0.000
114,28,0.000
流産,1,0.000
ジュリア,2,0.000
サルビア,7,0.000
ケータイ,16,0.000
きんこ,1,0.000
どうし,55,0.000
りん,7,0.000
一世,1,0.000
返そ,1,0.000
ハッカー,2,0.000
もめ事,1,0.000
レミントン・スティール,1,0.000
ゲームセンター,1,0.000
危なく,9,0.000
そうね,49,0.000
台所,11,0.000
ークリスマス,1,0.000
気まずく,1,0.000
冬物,2,0.000
コンピュータ,88,0.000
象っ,1,0.000
ちょうだい,31,0.000
もうす,7,0.000
はれる,3,0.000
描こ,1,0.000
ひけ,1,0.000
話し出す,2,0.000
ＴＯ,1,0.000
乗っ取ら,1,0.000
むなしかっ,1,0.000
ご覧,2,0.000
尽き,18,0.000
ゃいけないんだからさ,1,0.000
詰め込ま,1,0.000
逃げ出す,1,0.000
オーソドックス,4,0.000
ベコベコ,1,0.000
すべろ,1,0.000
ミサイル,2,0.000
トイレ,80,0.000
昼,41,0.000
納得,36,0.000
目指し,7,0.000
ょっとなんかまともにならないのかなあ,1,0.000
法典,1,0.000
リダンダンシー,1,0.000
年下,7,0.000
ナイター,1,0.000
エクスチェンジ,3,0.000
修士,40,0.000
意地,2,0.000
コネクティングルーム,1,0.000
愛想,3,0.000
ＦＭ,1,0.000
痛,25,0.000
電気,61,0.000
定義,26,0.000
歳暮,16,0.000
げっ,1,0.000
田村,1,0.000
なら,523,0.000
オートマ,2,0.000
上代,5,0.000
ねらっ,1,0.000
かもす,1,0.000
マルチ,4,0.000
げに,3,0.000
ぎゅう,6,0.000
ちょくちょく,8,0.000
工学部,24,0.000
結論づけ,1,0.000
キティちゃん,8,0.000
ねだり,1,0.000
亜弥,2,0.000
クリスティーナ・アギレラ,1,0.000
工作,4,0.000
皆さん,39,0.000
ドラム,1,0.000
東海岸,3,0.000
建築,15,0.000
東アジア,1,0.000
いもづる式,1,0.000
うそ,322,0.000
ピュッピュッ,1,0.000
野生,3,0.000
愛娘,1,0.000
ムールエビ,1,0.000
スースー,2,0.000
ソロ,3,0.000
急,84,0.000
食い物,3,0.000
バタ,5,0.000
開通,1,0.000
炬燵,1,0.000
一品,3,0.000
引歌,2,0.000
ウィンダミア,6,0.000
ジソ,1,0.000
かたは,4,0.000
トラ,4,0.000
あげれ,9,0.000
方針,9,0.000
狙わ,1,0.000
仮定,2,0.000
偏見,1,0.000
ラグビー,3,0.000
えれ,1,0.000
派遣,11,0.000
表彰,3,0.000
思考,7,0.000
光代,1,0.000
長島,1,0.000
足,156,0.000
いやいや,217,0.000
いっち,4,0.000
ポカ,1,0.000
建て直し,2,0.000
年取れ,1,0.000
すご,125,0.000
基礎,19,0.000
大して,12,0.000
音痴,9,0.000
ょうゆっ,1,0.000
ょうってことにはなってるから,1,0.000
文脈,2,0.000
れ,2099,0.001
びみょ,1,0.000
整頓,2,0.000
ステンドグラス,6,0.000
ごま油,6,0.000
名義,3,0.000
大橋,1,0.000
ねぇ,2,0.000
チャーハン,10,0.000
広がら,3,0.000
ガバッ,3,0.000
超し,1,0.000
ゃいいじゃんね,1,0.000
結っ,1,0.000
飛び出す,1,0.000
マーズスーパー,1,0.000
サリン,2,0.000
カセット,8,0.000
連結,1,0.000
昼寝,5,0.000
くべ,3,0.000
雪,140,0.000
オムレ,1,0.000
村長,1,0.000
引き受けよ,1,0.000
直営,1,0.000
かんばしく,1,0.000
冷や奴,2,0.000
ラッツ・アンド・スター,2,0.000
みどり,5,0.000
151,5,0.000
処方箋,1,0.000
使い道,5,0.000
追っかけ,4,0.000
ウィズ,1,0.000
罵倒,1,0.000
つめっ,1,0.000
潤む,1,0.000
アイスティー,3,0.000
ネトウエア,1,0.000
したがっ,2,0.000
アメリカン,8,0.000
茶棚,1,0.000
中沢,1,0.000
ゃいけないしね,1,0.000
ゃべんないようにしてみようって,1,0.000
夢中,4,0.000
羽根,5,0.000
星ヶ丘,2,0.000
はっと,6,0.000
集まら,6,0.000
食べれ,22,0.000
省,7,0.000
ニューマン,3,0.000
わらい,1,0.000
うようよ,1,0.000
開い,49,0.000
輸入,2,0.000
不可分,1,0.000
ボンゴレ,1,0.000
頭脳,3,0.000
ほっぺ,1,0.000
殻,5,0.000
暖かい,4,0.000
貿易,11,0.000
離婚,24,0.000
売り込ん,1,0.000
後味,3,0.000
九死,1,0.000
おせ,17,0.000
減らし,12,0.000
パキスタン,2,0.000
つるん,3,0.000
引き抜い,2,0.000
のがそ,1,0.000
進め方,2,0.000
こぼす,1,0.000
料,51,0.000
様子見,3,0.000
三重,23,0.000
そそ,9,0.000
ババロア,2,0.000
状況,42,0.000
しっ,12,0.000
千葉,12,0.000
亀,8,0.000
かれる,1,0.000
花屋敷,4,0.000
ゃうもんでっつって,1,0.000
Ｌｙｃｏｓ,1,0.000
いこ,39,0.000
越せ,1,0.000
必死,26,0.000
アジア,25,0.000
工,7,0.000
近けりゃ,1,0.000
バザー,1,0.000
菜の花,1,0.000
プレゼント,29,0.000
サバイバル,1,0.000
とともに,2,0.000
くやしくっ,2,0.000
かぎ,7,0.000
秋物,1,0.000
わるし,1,0.000
みはっ,1,0.000
薬局,13,0.000
ひょいひょい,2,0.000
子宮,7,0.000
ベーッ,1,0.000
プレイボーイ,1,0.000
領,3,0.000
って,11043,0.007
肉,123,0.000
ぱ,8,0.000
デン,2,0.000
帝王切開,3,0.000
武,1,0.000
014,4,0.000
アンテナ,2,0.000
っきり,20,0.000
アドバイス,19,0.000
全日空,2,0.000
試験管,1,0.000
勝ち,6,0.000
からび,1,0.000
秩父通,2,0.000
着任,3,0.000
何とか,248,0.000
タッチタッチタッチタッチ,1,0.000
激,5,0.000
掘り出す,1,0.000
おーい,14,0.000
アクセサリ,1,0.000
肝,11,0.000
眠たく,1,0.000
下岩崎,1,0.000
柄,20,0.000
ベリー・クラウディ,1,0.000
ゴールデン,1,0.000
鈍感,2,0.000
じゅ文,1,0.000
座れ,6,0.000
倒産,4,0.000
ホウレンソウ,3,0.000
明太,1,0.000
季語,4,0.000
入り込む,1,0.000
ぴるぜん,1,0.000
フォーレスティン,3,0.000
・コスメ,1,0.000
先週,30,0.000
ベロン,1,0.000
見てくれ,1,0.000
モクモク,1,0.000
ポッ,3,0.000
効き,2,0.000
伝え,17,0.000
クラス,176,0.000
033,26,0.000
刃,2,0.000
キツ,2,0.000
言わ,1210,0.001
食べる,267,0.000
だい,74,0.000
おもてなし,1,0.000
スキャン,1,0.000
心構え,4,0.000
荒涼,1,0.000
有名,83,0.000
手元,2,0.000
立た,14,0.000
国名,3,0.000
つらい,81,0.000
めざし,1,0.000
ピカピカ,6,0.000
コムサ,5,0.000
関係,281,0.000
上の,1,0.000
あせる,3,0.000
ＤＪ,3,0.000
暑,3,0.000
新規,2,0.000
すぎ,175,0.000
歯,51,0.000
がってん,2,0.000
みがい,3,0.000
泣く,17,0.000
オー・ソレ・ミオ,1,0.000
ぱっぱっぱっ,1,0.000
雑学,1,0.000
気づい,26,0.000
参加,41,0.000
渡れん,1,0.000
訓練,20,0.000
欠落,1,0.000
割っ,15,0.000
吸引,1,0.000
きわめて,3,0.000
